科目,プロジェクトID,タスクID,問題文,解答手順
PowerPoint,3,1,"あなたはPower Point 新機能についての発表用資料を作成しています。
スライド７にSmartArtグラフィック「タイムライン」の手順を追加し、文字列「""コンテンツ""」「""デザイン""」を入力します。不要な図形は削除します。","スライド7を選択
↓
[SmartArt グラフィック
の挿入]をクリック
↓
[SmartArt グラフィックの選
択]ダイアログボックスから
[手順]を選択
↓
[タイムライン]を選択
↓
テキストウィンドウの1行目に
「コンテンツ」と入力
↓
テキストウィンドウの2行目に
「デザイン」と入力
↓
テキストウィンドウの3行目を
クリックし、[Back Space]
キー
↓
SmartArt グラフィック以外の
部分をクリックして選択を解除"
PowerPoint,3,2,スライド７のSmartArtグラフィックに、色「グラデーション循環-アクセント６」を設定します。,"スライド7を選択
↓
SmartArt グラフィックを選択
↓
[SmartArt グラフィックの
デザイン]タブ
↓
[色の変更]をクリック
↓
[グラデーション 循環-アクセ
ント6]を選択
↓
SmartArt グラフィック以外の
部分をクリックして選択を解除"
PowerPoint,3,3,スライド６の箇条書きを「ターゲットリスト」のSmartArtに変更します。,"スライド6を選択
↓
箇条書きプレースホルダーを
選択
↓
[ホーム]タブ
↓
[SmartArt に変換]をクリッ
ク
↓
[その他の SmartArt グラフ
ィック]を選択
↓
[SmartArt グラフィックの選
択]ダイアログボックスから
[リスト]を選択
↓
[ターゲットリスト]を選択
↓
[OK]をクリック
↓
SmartArt グラフィック以外の
部分をクリックして選択を解除"
PowerPoint,3,4,"スライド１に3Dモデル「虫眼鏡」を挿入します。幅を「""2.5""」に変更して中央の楕円の図形の中に配置します。正確な位置は問いません。","スライド1を選択
↓
[挿入]タブ
↓
[3D モデル]の下側 を
クリック
↓
[このデバイス]を選択
↓
[3D モデルの挿入]ダイアロ
グボックスから[虫眼鏡]を
選択
↓
[挿入]をクリック
↓
[3D モデル]タブが選択され
ていることを確認
↓
[幅]をクリックし「2.5」と
入力
↓
3D モデル[虫眼鏡]の枠線に
マウスを合わせて、楕円の図形
の中にドラッグ
↓
3D モデル以外の部分をクリッ
クして選択を解除"
PowerPoint,3,5,"スライド10の3Dモデルのビューを上前面にし、高さを「""6.5""」に変更します。","スライド 10 を選択
↓
3D モデルを選択
↓
[3D モデル]タブ
↓
[3D モデルビュー]の
[ビュー]をクリック
↓
一覧から[上前面]を選択
↓
[高さ]ボックスをクリック
し、「6.5」と入力
↓
3D モデル以外の部分をクリッ
クして選択を解除"
PowerPoint,3,6,「機能の概要」のスライドにスライドズームを挿入して「画面録画で説明」「ズーム機能で訴求力アップ」「デザインアイデアで魅力的に！」へリンクを作成します。タイトルの下に配置し、スライドズームが重ならないようにします。,"スライド3(「機能の概要」)を
選択
↓
[挿入]タブ
↓
[ズーム]をクリック
↓
[スライドズーム]をクリック
↓
[画面録画で説明]をクリック
↓
[ズーム機能で訴求力アップ]
をクリック
↓
[デザインアイデアで魅力的
に!]をクリック
↓
[挿入]をクリック
↓
前面のサムネイルを右下側に
ドラッグ
↓
最背面のサムネイルを左下側に
ドラッグ
↓
中央のサムネイルを左右のサム
ネイルに合わせて下にドラッグ
↓
サムネイル以外の部分をクリッ
クして選択を解除"
PowerPoint,3,7,スライド２にセクションズームのリンクを挿入します。セクション「1.機能の概要」と「2.伝わるスライドの要素」にリンクを作成し、それぞれ文字の下に配置します。,"スライド2を選択
↓
[挿入]タブ
↓
[ズーム]をクリック
↓
[セクションズーム]をクリッ
ク
↓
[セクション 2: 1.機能の概
要]をクリック
↓
[セクション3: 2.伝わるス
ライドの要素]をクリック
↓
[挿入]をクリック
↓
サムネイル以外の部分をクリッ
クして選択を解除
↓
前面のサムネイルを右下側に
ドラッグ
↓
背面のサムネイルを左下側に
ドラッグ
↓
サムネイル以外の部分をクリッ
クして選択を解除"
PowerPoint,4,1,"あなたは英語教育プログラムの提案用資料を作成しています。
スライド１の青い図形に、「""教育者必見""」と入力します。","スライド1を選択
↓
青い図形を選択
↓
「教育者必見」と入力
↓
図形以外の部分をクリックし、
図形の選択を解除"
PowerPoint,4,2,スライド４の文字列「いつでも体験可能です!」に、文字の塗りつぶし「青、アクセント1」を設定します。,"スライド4を選択
↓
「いつでも体験可能です!」の
文字(テキストボックス)を
クリック
↓
「いつでも体験可能です!」の
文字列をドラッグ
↓
[図形の書式]タブ
↓
[文字の塗りつぶし]をクリッ
ク
↓
[青、アクセント 1]を選択
↓
テキストボックス以外の部分を
クリックして選択を解除"
PowerPoint,4,3,スライド１枚目の子供の画像に、図の効果「光彩:18pt;緑､アクセントカラー6」を設定します。,"スライド1を選択
↓
子供の画像を選択
↓
[図の形式]タブ
↓
[図の効果]をクリック
↓
[光彩]をポイント
↓
[光彩:18pt;緑、アクセントカ
ラー6]を選択
↓
画像以外の部分をクリックして
選択を解除"
PowerPoint,4,4,スライド１の子供の画像に、スタイル「楕円 ぼかし」を設定し、「テクスチャライザー」のアート効果を設定します。,"スライド1を選択
↓
子供の画像を選択
↓
[図の形式]タブ
↓
[クイックスタイル]をクリ
ック
↓
[楕円、ぼかし]を選択
↓
[アート効果]をクリック
↓
[テクスチャライザー]を選択
↓
画像以外の部分をクリックして
選択を解除"
PowerPoint,4,5,スライド５の右の画像を左の画像の上端に合わせます。水平方向には動かさないようにします。,"スライド5を選択
↓
左の画像を選択
↓
[Shift]キーを押しながら
右の画像を選択
↓
[図の形式]タブ
↓
[配置]をクリック
↓
[上揃え]をクリック
↓
2つの画像以外の部分をクリッ
クして選択を解除"
PowerPoint,4,6,スライド５の右側の画像の右端を、スライドの右端に揃えてトリミングします。画像の右端以外は変更しないでください。トリミングした領域をプレゼンテーションから完全に削除しないでください。,"スライド5を選択
↓
右の画像を選択
↓
[図の形式]タブ
↓
[トリミング]の上側 を
クリック
↓
右側の のトリミングハンドル
をポイント
↓
マウスポインターの形が の
形になったことを確認し、スラ
イドの右端まで、左方向にドラ
ッグ
↓
[トリミング]の上側をクリッ
ク
↓
画像以外の部分をクリックして
選択を解除"
PowerPoint,4,7,2枚目のスライドのテキストボックスに、塗りつぶし「青、アクセント1、白+基本色60％」、枠線「濃い青」、太さ「0.75pt」を設定します。,"スライド2を選択
↓
テキストボックスを選択
↓
[図形の書式]タブ
↓
[図形の塗りつぶし]をクリッ
ク
↓
[青、アクセント 1、白+基本
色 60%]を選択
↓
[図形の枠線]をクリック
↓
[濃い青]を選択
↓
[図形の枠線]をクリック
↓
[太さ]をポイント
↓
[0.75pt]を選択
↓
テキストボックス以外の部分を
クリックして選択を解除"
PowerPoint,4,8,スライド３のコンテンツ領域にあるテキストボックスを、スライドの垂直方向の中央に配置します。,"スライド3を選択
↓
テキストボックスを選択
↓
[図形の書式]タブ
↓
[配置]をクリック
↓
[上下中央揃え]を選択
↓
テキストボックス以外の部分を
クリックして選択を解除"
PowerPoint,5,1,"あなたはMOS合格対策講座のコースガイダンス資料を作成しています。
スライド３の丸の図形４個の右端を揃えます。","スライド3を選択
↓
1 つ目の図形を選択
↓
[Shift]キーを押しながら2
つ目の図形を選択
↓
[Shift]キーを押しながら3
つ目の図形を選択
↓
[Shift]キーを押しながら4
つ目の図形を選択
↓
[図形の書式]タブ
↓
[配置]をクリック
↓
[右揃え]を選択
↓
図形以外の部分をクリックして
選択を解除"
PowerPoint,5,2,スライド５の小さい四角の大きさを他の四角と同じ幅にします。,"スライド5を選択
↓
大きい四角の図形(上2つの図
形であればどちらでも)を選択
↓
[図形の書式]タブ
↓
[幅]ボックスをクリックし、
[Ctrl]+[C]キーを押して
数値をコピー
↓
小さい四角い図形を選択
↓
[幅]ボックスをクリックし、
[Ctrl]+[V]キーを押して
数値を貼り付け
↓
図形以外の部分をクリックして
選択を解除"
PowerPoint,5,3,スライド４の星の図形をスマイルに変更します。,"スライド4を選択
↓
星の図形を選択
↓
[図形の書式]タブ
↓
[図形の編集]をクリック
↓
[図形の変更]をポイント
↓
[スマイル]を選択
↓
図形以外の部分をクリックして
選択を解除"
PowerPoint,5,4,スライド６の図形を手前から「対策講座」「PC教室」「通信講座」になるように重なりの順番を変更します。,"スライド6を選択
↓
[対策講座]の図形を選択
↓
[図形の書式]タブ
↓
[前面へ移動]の下側 を
クリック
↓
[最前面へ移動]を選択
↓
[通信講座]の図形を選択
↓
[背面へ移動]の下側 を
クリック
↓
[最背面へ移動]を選択
↓
図形以外の部分をクリックして
選択を解除"
PowerPoint,5,5,スライド６の3つの論理積ゲートの図形をグループ化します。,"スライド6を選択
↓
左の画像を選択
↓
[Shift]キーを押しながら中
央の画像を選択
↓
[Shift]キーを押しながら右
の画像を選択
↓
[図形の書式]タブ
↓
[グループ化]をクリック
↓
[グループ化]をクリック
↓
図形以外の部分をクリックして
選択を解除"
PowerPoint,5,6,スライド「MOSって何？」の男の子の画像の代替テキストを装飾化し、スクリーンリーダーに表示させないようにします。,"スライド2を選択
↓
男の子の図形を選択
↓
[図の形式]タブ
↓
[代替テキスト]をクリック
↓
[装飾用にする]をクック
↓
[閉じる]をクリック
↓
画像以外の部分をクリックして
選択を解除"
PowerPoint,5,7,スライド２の[?]のアイコンに「濃い赤」の塗りつぶしを設定します。,"スライド2を選択
↓
アイコンを選択
↓
[グラフィックス形式]タブ
↓
[グラフィックの塗りつぶし]
をクリック
↓
[濃い赤]を選択
↓
アイコン以外の部分をクリック
して選択を解除"
PowerPoint,6,1,"あなたは、「伝わる」プレゼンテーションのテクニックを紹介する資料を作成しています。
プレゼンテーションからドキュメントのプロパティと個人情報を削除します。他の情報は削除しないでください。「ドキュメント検査の前にファイルを保存します。」のメッセージが表示された場合は「はい」をクリックします。","[ファイル]タブ
↓
[情報]をクリック
↓
[問題のチェック]をクリック
↓
[ドキュメント検査]を選択
↓
[ドキュメントの検査]ダイア
ログボックスが表示されたこと
を確認
↓
[検査]をクリック
↓
検査結果が実行されたことを確
認
↓
[ドキュメントのプロパティと
個人情報]の[すべて削除]を
クリック
↓
[ドキュメントのプロパティと
個人情報]が削除されたことを
確認
↓
[閉じる]をクリック
↓
[ホームに戻る]をクリック"
PowerPoint,6,2,プレゼンテーションを常に読み取り専用にします。,"[ファイル]タブ
↓
[情報]をクリック
↓
[プレゼンテーションの保護]
をクリック
↓
[常に読み取り専用で開く]を
選択
↓
[プレゼンテーションの保護]
が設定されたことを確認
↓
[ホームに戻る]をクリック"
PowerPoint,6,3,スライドショーを自動プレゼンテーションとして設定します。,"[スライドショー]タブ
↓
[スライドショーの設定]を
クリック
↓
[スライドショーの設定]ダイ
アログボックスが表示されたこ
とを確認
↓
[自動プレゼンテーション]を
クリック
↓
[OK]をクリック"
PowerPoint,6,4,"スライド４，５，６を選択し、「""書式のポイント""」という名前の目的別スライドショーを作成します。スライドショーは実行しません。","[スライドショー]タブ
↓
[目的別スライドショー]を
クリック
↓
[目的別スライドショー]を
クリック
↓
[目的別スライドショー]ダイ
アログボックスが表示されたこ
とを確認
↓
[新規作成]をクリック
↓
[目的別スライドショーの定
義]ダイアログボックスが表示
されたことを確認
↓
[スライドショーの名前]の既
存の文字列を削除し、「書式の
ポイント」と入力
↓
[4.キーワードを見付けて強
調]、[5.フォントは「メイリ
オ」]、[6.「ゴシック」で見せ
る]を選択し、チェックをオン
↓
[追加]をクリック
↓
選択したスライドが[目的別ス
ライドショーのスライド]一覧
に追加されたことを確認
↓
[OK]をクリック
↓
[目的別スライドショー]とし
て「書式のポイント」が作成さ
れたことを確認
↓
[閉じる]をクリック"
PowerPoint,6,5,"すべてのスライドをアウトラインで、部単位に""６""部印刷するように設定します。","[ファイル]タブ クリックします。
↓
[印刷]をクリック
↓
[フルページサイズのスライ
ド]をクック
↓
[アウトライン]を選択
↓
[すべてのスライドを印刷]
になっていることを確認
↓
[部単位で印刷]になっている
ことを確認
↓
[部数]ボックスをクリック
し、「6」と入力
↓
印刷プレビューが、[アウトラ
イン]に変わったことを確認
↓
[ホームに戻る]をクリッ
ク"
PowerPoint,6,6,"ノートですべてのスライドを""3""部印刷しなさい。ただし、1ページ目を全て印刷したあとに2ページ目を印刷するようにします。","[ファイル]タブ
↓
[印刷]をクリック
↓
[アウトライン)]をクリック
↓
[ノート]をクリック
↓
[部単位で印刷]をクリック
↓
[ページ単位で印刷]をクリッ
ク
↓
[部数]ボックスをクリック
し、「3」と入力
↓
印刷プレビューが、[ノート]
に変わったことを確認
↓
[ホームに戻る]をクリッ
ク"
PowerPoint,6,7,"印刷オプションで、グレースケールの配布資料を、１ページに3スライドのレイアウトで""４""部印刷するように設定します。印刷は実行しないでください。","[ファイル]タブ
↓
[印刷]をクリック
↓
[ノート]をクック
↓
[3 スライド]をクリック
↓
[カラー]をクリック
↓
[グレースケール]をクリック
↓
[部数]ボックスをクリック
し、「4」と入力
↓
印刷プレビューが、[グレース
ケール]の[配布資料]に変わ
ったことを確認
↓
[ホームに戻る]をクリック"
PowerPoint,7,1,"あなたは、情報モラルの重要性について発表する資料を作成しています。
スライド１にコメント「""情報発信の責任を考える""」を挿入します。","スライド1をクリック
↓
[挿入]タブ
↓
[コメント]をクリック
↓
[コメント]作業ウィンドウが
表示されたことを確認
↓
[情報発信の責任を考える]と
入力
↓
[コメントを投稿する]を
クリック
↓
[閉じる]をクリック"
PowerPoint,7,2,"スライド１枚目の文字列「情報学習支援」に、Webページ「""https://rabbitway.jp/""」を表示するハイパーリンクを設定します。","問題文のリンク先の URL を
コピー
↓
スライド1をクリック
↓
「情報学習支援」を選択
↓
[挿入]タブ
↓
[リンク]の上側 をクリッ
ク
↓
[ハイパーリンクの挿入]ダイ
アログボックスが表示されたこ
とを確認
↓
[ファイル、Web ページ]が
選択されていることを確認
↓
[アドレス]を右クリックし、
[貼り付け]を選択
↓
URL が貼り付けされたことを
確認
↓
[OK]をクリック
↓
プレースホルダー以外の部分を
クリックして、選択を解除"
PowerPoint,7,3,スライド６の後ろに、文書「まとめ」のアウトラインを使用してスライドを挿入します。,"スライド6をクリック
↓
[ホーム]タブ
↓
[新しいスライド]の下側
をクリック
↓
[アウトラインからスライド]
をクリック
↓
[アウトラインの挿入]ダイア
ログボックスが表示されたこと
を確認
↓
[まとめ.docx]を選択
↓
[挿入]をクリック"
PowerPoint,7,4,"スライドのフッターに、スライド番号と「""rabbitway.jp""」をタイトルスライド以外に追加します。","[挿入]タブ
↓
[ヘッダーとフッター]をクリ
ック
↓
[ヘッダーとフッター]ダイア
ログボックスが表示されたこと
を確認
↓
[スライド番号]チェックボッ
クスをクリックしオン
↓
[フッター]チェックボックス
をクリックしオン
↓
[フッター]テキストボックス
に「rabbitway.jp」と入力
↓
[タイトルスライドに表示しな
い]チェックボックスがオンに
なっていることを確認
↓
[すべてに適用]をクリック"
PowerPoint,7,5,"５枚目の「事例１」と６枚目の「事例2」のフッターに「""参考事例""」と挿入します。他のスライドには表示しません。","スライド5をクリック
↓
[Shift]キーを押しながら、
スライド6をクリック
[挿入]タブ
↓
[ヘッダーとフッター]をクリ
ック
↓
[ヘッダーとフッター]ダイア
ログボックスが表示されたこと
を確認
↓
既存の文字列を削除し、「参考
事例」と入力
↓
[適用]をクリック"
PowerPoint,8,1,"あなたは、「見せる！」　プレゼンテーションの極意を紹介する資料作成しています。
スライド「見せる！スライドの基本ルール」の表を、スタイル「中間スタイル４-アクセント４」に変更します。表スタイルのオプションを設定して、行が１行おきに変更されないようにします。","スライド2をクリック
↓
表を選択
↓
[テーブルデザイン]タブ
↓
[テーブルスタイル]をクリ
ック
↓
[中間スタイル4-アクセント
4]を選択
↓
[縞模様(行)]チェックボック
スをクリックしてオフ
↓
表以外の部分をクリックして選
択を解除."
PowerPoint,8,2,スライド１の背景を「濃い緑、テキスト２、白+基本色80％」に変更します。,"スライド1をクリック
↓
[デザイン]タブ
↓
[背景の書式設定]をクリック
↓
[背景の書式設定]作業ウィン
ドウが表示されたことを確認
↓
[塗りつぶしの色]をクリック
↓
[濃い緑、テキスト2、白+基
本色 80%]を選択
↓
[閉じる]をクリック"
PowerPoint,8,3,スライドのサイズを「画面に合わせる16：9」にします,"[デザイン]タブ
↓
[スライドのサイズ]をクリッ
ク
↓
[ユーザー設定のスライドのサ
イズ]を選択
↓
[スライドのサイズ]ダイアロ
グボックスが表示されたことを
確認
↓
[スライドのサイズ指定]の
をクリック
↓
[画面に合わせる(16:9)]
を選択
↓
[OK]をクリック"
PowerPoint,8,4,"スライドの大きさを、高さ「""17.46""cm」、幅「""27.54""cm」に変更します。スライドは画面に合わせます。","[デザイン]タブ
↓
[スライドのサイズ]をクリッ
ク
↓
[ユーザー設定のスライドのサ
イズ]をクリック
↓
[スライドのサイズ]ダイアロ
グボックスが表示されたことを
確認
↓
[幅]ボックスに「27.54」と
入力
↓
[高さ]ボックスに「17.46」
と入力
↓
[OK]をクリック
↓
[サイズに合わせて調整]を
クリック"
PowerPoint,8,5,スライドをグレースケールで表示し、スライド２のイラストを「明るいグレースケール」にします。,"[表示]タブ
↓
[グレースケール]をクリック
↓
スライド2をクリック
↓
イラストをクリック
↓
[明るいグレースケール]をク
リック
↓
イラスト以外の部分をクリック
して、選択を解除"
PowerPoint,9,1,"あなたは、英語教育プログラムのご提案資料を作成しています。
スライド「スクールの様子」に、動画「受講の様子.mp4」を挿入します。挿入にはアイコンを使います。","スライド5をクリック
↓
[メディアの挿入]アイコンを
クリック
↓
[ビデオの挿入]ダイアログボ
ックスが表示されたことを確認
↓
[受講の様子.mp4]を選択
↓
[挿入]をクリック
↓
動画以外の部分をクリックして
選択を解除"
PowerPoint,9,2,"スライド５のビデオを、開始を「""4""秒」、終了を「""9""秒」に設定します。","スライド5をクリック ます。
↓
ビデオを選択
↓
[再生]タブ
↓
[ビデオのトリミング]をクリ
ック
↓
[ビデオのトリミング]ダイア
ログボックスが表示されたこと
を確認
↓
[開始時間]ボックスに
「00:04」と入力
↓
[終了時間]ボックスに
「00:09」と入力
↓
[OK]をクリック
↓
動画以外の部分をクリックして
選択を解除"
PowerPoint,9,3,"スライド１のオーディオを、スライドを切り替えても1回だけ再生するように設定します。再生は""3""秒かけてフェードアウトするようにします。","スライド1をクリック
↓
オーディオのアイコンをクリッ
ク
↓
[再生]タブ
↓
[スライド切り替え後も再生]
チェックボックスをクリック
してオン
↓
[フェードアウト]ボックスに
「3」と入力
↓
オーディオのアイコン以外の部
分をクリックして、選択を解除"
PowerPoint,9,4,スライド２のプレースホルダーに表の内容を表す「集合縦棒」グラフを作成します。「結果」の列を項目、「人数」の列をデータ系列として使用します。表のデータはグラフシートにコピーまたは手入力でもかまいません。,"スライド2をクリック
↓
[グラフの挿入]アイコン
をクリック
↓
[グラフの挿入]ダイアログボ
ックスが表示されたことを確認
↓
[縦棒]が選択されていること
を確認
↓
[集合縦棒]が選択されている
ことを確認
↓
[OK]をクリック
↓
サンプルデータが入力された
ワークシートが表示されたこと
を確認
↓
スライドの左側の表をドラッグ
して選択
↓
[Ctrl]キーを押しながら
[C]キー
↓
ワークシートのセル【A1】を
クリック
↓
[Ctrl]キーを押しながら
[V]キー
↓
列番号Cにマウスポインターを
合わせて の形を確認し、列番
号Dまでドラッグ
↓
選択した列番号の上で右クリッ
クし[削除]をクリック
↓
列C~Dのデータが削除された
ことを確認
↓
[閉じる]をクリック
↓
表以外の部分をクリックして、
選択を解除"
PowerPoint,9,5,スライド２のグラフに［凡例マーカーなし］のデータテーブルを表示し、タイトルと凡例を削除します。,"スライド2をクリック
↓
グラフを選択
↓
[グラフのデザイン]タブ
↓
[グラフ要素を追加]をクリッ
ク
↓
[データテーブル]をポイント
↓
[凡例マーカーなし]を選択
↓
[データテーブル]が表示され
たことを確認
↓
[グラフ要素を追加]をクリッ
ク
↓
[グラフタイトル]をポイント
↓
[なし]を選択
↓
同様に、[グラフ要素を追加]
をクリック
↓
[凡例]をポイント
↓
[なし]を選択
↓
グラフ以外の部分をクリック
して選択を解除"
PowerPoint,10,1,"あなたは、日本の「四季」について紹介する資料を作成しています。
スライドマスターにテーマ「木版活字」を設定します。","[表示]タブ
↓
[スライドマスター]をクリッ
ク
↓
[スライドマスター]タブが選
択され、スライドマスターの表
示に切り替わったことを確認
↓
[メトロポリタン スライドマス
ター:スライド 1-7 で使用され
る]を選択
↓
[テーマ]をクリック
↓
[木版活字]を選択
↓
[マスター表示を閉じる]を
クリック"
PowerPoint,10,2,スライドマスターにスライド番号を挿入します。,"[表示]タブ
↓
[スライドマスター]をクリッ
ク
↓
[スライドマスター]タブが選
択され、スライドマスターの表
示に切り替わったことを確認
↓
[木版活字 スライドマスター:
スライド 1-7 で使用される]を
選択
↓
[挿入]タブ
↓
[スライド番号]をクリック
↓
[スライド番号]チェックボッ
クスをクリックしてオン
↓
[適用]をクリック
↓
[スライドマスター]タブ
↓
[マスター表示を閉じる]を
クリック"
PowerPoint,10,3,スライドマスターの［タイトルスライド］レイアウトのスライド番号を非表示にします。,"[表示]タブ
↓
[スライドマスター]をクリッ
ク
↓
[スライドマスター]タブが選
択され、スライドマスターの表
示に切り替わったことを確認
↓
[タイトルスライドレイアウト:
スライド 1 で使用される]を選
択
↓
[挿入]タブ
↓
[スライド番号]をクリック
↓
[スライド番号]チェックボッ
クスをクリックしてオフ
↓
[適用]をクリック
↓
[スライドマスター]タブ
↓
[マスター表示を閉じる]を
クリック"
PowerPoint,10,4,スライドマスターの［２つのコンテンツ］レイアウトのスライドの背景のデザインを非表示にします。,"[表示]タブ
↓
[スライドマスター]をクリッ
ク
↓
[スライドマスター]タブが選
択され、スライドマスターの表
示に切り替わったことを確認
↓
[2 つのコンテンツ レイアウ
ト:スライド2で使用される]を
選択
↓
[背景を非表示]チェックボッ
クスをクリックしてオン
↓
スライドの右下端のグラフィッ
クが非表示になったことを確認
↓
[マスター表示を閉じる]を
クリック"
PowerPoint,10,5,スライドマスターで［フッター］のプレースホルダーを削除します。,"[表示]タブ
↓
[スライドマスター]をクリッ
ク
↓
[スライドマスター]タブが選
択され、スライドマスターの表
示に切り替わったことを確認
↓
[木版活字 スライドマスター:
スライド 1-7 で使用される]を
選択
↓
[マスターのレイアウト]をク
リック
↓
[マスターレイアウト]ダイア
ログボックスで[フッター]チ
ェックボックスをクリックして
オフ
↓
[OK]をクリック
↓
[マスター表示を閉じる]を
クリック"
